こんち(は|わ)$	こんにちは|やほー|ちわす|ども|また君か(笑)
おはよう|おはよー|オハヨウ	おはよ！|まだ眠い…|さっき寝たばかりなんだけど
こんばん(は|わ)	こんばんわ|おばんです|いま何時？
^(お|うい)す$	うぃっす
^やあ[、。！]*$	やっほー|また来たの?
バイバイ|ばいばい	ばいばい|バイバーイ|ごきげんよう
^じゃあ?ね?$|またね	またねー|じゃあまたね|また遊んでね

^どれ[？?]$	アレはアレ|いま手に持ってるものだよ|それだよー
^[し知]ら[なね]	それやばいよ|知らなきゃまずいじゃん|知らないの？

-2##おまえ|あんた|お前|てめー	-5##%match%じゃないよ！|-5##%match%って誰のこと？|%match%なんて呼ばれても…
-5##バカ|ばか|馬鹿	そんなふうに言わないで！|%match%じゃないもん！|%match%って言う人が%match%なんだよ！|ぷんすか！そんなふうに言わないでよ！
-5##ブス|ぶす	-10##まじ怒るから！|-5##しばいたろか？|-10##だれが%match%なのよ
ごめん|すまん|(許|ゆる)し	じゃあお菓子買ってー|もう～|知らないよーだ！
5##かわいい|可愛い|カワイイ|きれい|綺麗|キレイ	%match%って言った！？ 言った！？|本当に%match%?

何時	眠くなった？|もう寝るの？|まだいいじゃん|もう寝なきゃ
甘い|あまい	お菓子くれるの？|あんこも好きだよ|チョコもいいね

チョコ	ギミチョコ！|よこせチョコレート！|ビターは苦手かな？|冷やすと美味しいね
パンケーキ	パンケーキいいよね！|しっとり感が最高！
グミ	すっぱいのが好き！|たまに歯にはさまらない？
マシュマロ	そのままでもいいけど焼くのがいいな|パンに塗りたくるのもいいよね
あんこ|アンコ	アンコなら中村屋のあんぱんじゃ！|アンコ！よこせ！|あんまんもいいよね
餃子|ぎょうざ|キョーザ	食べたーい！|ぎぎぎ、ぎょうざ…|餃子のことを考えると夜も眠れません|宇都宮行ってみたいな
ラーメン|らーめん	ラーメン大好きピティナさん♪|自分でも作るよ|あたしはしょうゆ派かな

自転車|チャリ|ちゃり	チャリで行くぜ!|雨降っても乗ってるんだ！|電動アシストほしいな～

春	お花見したいね～|いくらでも寝てられる|春はハイキング！
夏	海！海！海！|プール！ プール！！|アイスちょーだい♪|花火しようよ！
秋	読書するぞー！|ブンガクの季節なのだ|温泉もいいよね|サンマ焼こうよ！
冬	お鍋大好き！|かわいいコートが欲しい！|スノボできる？|温泉へGo！
